item_id,record_id,source_id,stage_owner,severity,status,issue_code,field,observed_value,detail,recommended_action,auto_recheck
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000004%3AHg_AAS%3AHg%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Hg_AAS:Hg:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000004%3ANi_AAS%3ANi%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Ni_AAS:Ni:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000004%3APb_AAS%3APb%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Pb_AAS:Pb:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000004%3AZn_AAS%3AZn%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Zn_AAS:Zn:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000005%3AAs_Col%3AAs%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000005:As_Col:As:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000005%3ACu_AAS%3ACu%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000005:Cu_AAS:Cu:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000005%3AHg_AAS%3AHg%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000005:Hg_AAS:Hg:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000005%3ANi_AAS%3ANi%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000005:Ni_AAS:Ni:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000005%3APb_AAS%3APb%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000005:Pb_AAS:Pb:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000005%3AZn_AAS%3AZn%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000005:Zn_AAS:Zn:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
