source_row,projeto_amostragem,projeto_publicacao,centro_custo,classe,num_campo,num_lab,data_visita,abertura,leitura,job,As_ppm,Cr_ppm,Cu_ppm,Ni_ppm,Pb_ppm,Zn_ppm,observacao,longitude,latitude,arcgis_objectid,sample_description,material_collected,sample_source,sample_situation,drainage_area,project_report_url
9,Florianópolis,Florianópolis,1046350,Sedimento de Corrente,1046-HM-S-020,JAY017,1987-03-01,,Espectrografia Ótica de Emissão,,ND,15,10,< 5,50,ND,Análise de Sc_ppm sofreu interferência,-48.689539002000004,-27.571033375000013,86997,Composto,Aluviao,Rio,Leito Ativo Abaixo do Nivel d'agua,Ate 10 Km2,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
175,Florianópolis,Florianópolis,1046350,Sedimento de Corrente,1046-HM-S-1120,JBG122,1988-09-01,,Espectrografia Ótica de Emissão,,ND,70,20,50,300,ND,Análise de Sc_ppm sofreu interferência,-48.799628364,-27.87308962100002,87932,Composto,Aluviao,Rio,Leito Ativo Abaixo do Nivel d'agua,Ate 10 Km2,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
189,Florianópolis,Florianópolis,1046350,Sedimento de Corrente,1046-HM-S-1138,JBG129,1988-09-01,,Espectrografia Ótica de Emissão,,ND,ND,500,5,150,ND,Análise de Be_ppm sofreu interferência; Análise de Sc_ppm sofreu interferência,-48.894386954000026,-27.78288554300002,87939,Composto,Aluviao,Rio,Leito Ativo Abaixo do Nivel d'agua,Ate 10 Km2,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
373,Florianópolis,Florianópolis,1046350,Sedimento de Corrente,1046-HM-S-306,JAZ093,1987-05-01,,Espectrografia Ótica de Emissão,,ND,500,30,50,30,ND,Análise de Sc_ppm sofreu interferência,-48.819459946999984,-27.668112364000024,87245,Composto,Aluviao,Rio,Leito Ativo Abaixo do Nivel d'agua,Ate 10 Km2,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
571,Florianópolis,Florianópolis,1046350,Sedimento de Corrente,1046-HM-S-618,JBB057,1987-09-01,HNO3 a Quente,Absorção Atômica,,,,21,,,,,-48.714919308999981,-27.582543536000003,87496,Composto,Aluviao,Rio,Leito Ativo Abaixo do Nivel d'agua,Ate 10 Km2,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
573,Florianópolis,Florianópolis,1046350,Sedimento de Corrente,1046-HM-S-618,JBB057,1987-09-01,,Espectrografia Ótica de Emissão,,ND,< 10,30,ND,15,ND,Análise de Sc_ppm sofreu interferência,-48.714919308999981,-27.582543536000003,87496,Composto,Aluviao,Rio,Leito Ativo Abaixo do Nivel d'agua,Ate 10 Km2,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
