StationID,Collector,CollectionDate,ReportDate,AnalysisSourceID,Lat_WGS84,Long_WGS84,Quad24k83,State,LocationDescription,LocationConfidenceMeters,RockType,RockName,GeoAge,FormOrFacies,Notes,AnalyticalMethods,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O_Plus,H2O_Minus
DF-8-12-1,"Fiesinger, D.W.",8/12/1977,1/1/1979,Utah State University,41.65972719,-114.0035778,Death Creek Reservoir,UT,Death Creek N of Burnt Mtn,50,"igneous, volcanic",rhyolite,Miocene,lava flow,,"wet chemistry (Carmichael and others, 1968)",77.13,0.1,9.34,3.27,0.25,0.02,0,0,2.83,5.15,0.03,0.35,0.09
DV81-1,"Fiesinger, D.W.",9/29/1981,1/1/1983,Utah State University,41.65326423,-114.030175,Death Creek Reservoir,UT,NW side of Burnt Mtn,20,"igneous, volcanic",dacite tuff,Miocene,tuff,,"wet chemistry (Carmichael and others, 1968)",63.85,0.36,13.07,1.15,1.46,0.04,0.58,6.26,2.69,4.63,0.1,5.47,0.46
