SortOrder,AnalyticalMethods,MethodDescription,Unit,MethodDescriptionSource
1,ME-XRF06,"SiO2, Al2O3, Fe2O3, CaO, MgO, Na2O, K2O, Cr2O3, TiO2, MnO, P2O5, SrO, BaO, and LOI reported in weight percent. A calcined or ignited sample (0.9 g) is added to 9.0g of lithium borate flux (a solution of 50% lithium tetraborate and 50% lithium metaborate), mixed well and fused in an auto fluxer between 1050 - 1100°C. A flat molten glass disc is prepared from the resulting melt and the disc is then analyzed by X-ray Fluorescence Spectrometry (XRF). Loss on ignition (LOI) is determined by gravimetry as part of this process.",weight percent (% or pct),adapted from ALS data sheet (2014)
2,ME-MS81,"Ag, Ba, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Ga, Gd, Hf, Ho, La, Lu, Mo, Nb, Nd, Ni, Pb, Pr, Rb, Sm, Sn, Sr, Ta, Tb, Th, Tl, Tm, U, V, W, Y, Yb, Zn, Zr, reported in parts per million by weight (ppm). A prepared sample (0.200 g) is added to lithium metaborate flux (0.90 g), mixed well and fused in a furnace at 1000°C. The resulting melt is then cooled and dissolved in 100 mL of 4% nitric acid / 2% hydrochloric acid solution. This solution is then analyzed by Inductively Coupled Plasma - Mass Spectrometry (ICP-MS).",parts per million by weight (ppm),adapted from ALS data sheet (2014)
3,ME-4ACD81,"Base metals Ag, As, Cd, Co, Cu, Li, Mo, Ni, Pb, Sc, Tl, Zn, reported in parts per million by weight (ppm). Sample preparation involves four-acid digestion of pulverized material utilizing a combination of nitric, perchloric, and hydrofluoric acids with a final dissolution stage using hydrochloric acid. This digestion breaks down most silicate and oxide minerals allowing for the “near-total” recovery of most minerals and analytes. The resulting material is analyzed by Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES). Same as ME-4ACD81-2, plus Li, Tl.",parts per million by weight (ppm),adapted from ALS data sheet (2014)
