StationID,Collector,CollectionDate,JobID,LabID,Submitter,SubmittalDate,ReportDate,AnalysisSourceID,Lat_WGS84,Long_WGS84,Quad24k83,State,LocationDescription,LocationConfidenceMeters,RockType,RockName,GeoAge,FormOrFacies,AnalyticalMethods,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,BaO,Cr2O3,SrO,V2O5,LOI,H2O_Minus,H2O_Plus,Total_H2O,FeO,Ag,As,B,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mn,Mo,Nb,Nd,Ni,Pb,Pr,Rb,Re,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,P_pct,S_pct,Si_pct,Ti_pct,Ce_ppm_ICP-REE,Dy_ppm_ICP-REE,Er_ppm_ICP-REE,Eu_ppm_ICP-REE,Gd_ppm_ICP-REE,Ho_ppm_ICP-REE,La_ppm_ICP-REE,Lu_ppm_ICP-REE,Nd_ppm_ICP-REE,Pr_ppm_ICP-REE,Sm_ppm_ICP-REE,Tb_ppm_ICP-REE,Th_ppm_ICP-REE,Tm_ppm_ICP-REE,U_ppm_ICP-REE,Yb_ppm_ICP-REE
F06_098CV,"Felger, T.J.",6/15/2006,MRP-14513,C-397070,"Felger, T.J.",6/4/2015,8/18/2015,USGS contract lab - SGS Labs,41.96588588,-112.9933026,Monument Peak NW,UT,Curlew Valley,5,"igneous, volcanic",basalt,Pleistocene,lava flow,C_WDXRF-MAJORS; C_ICPAES_MS-55,47.2,3.25,14.1,16.6,0.21,6.72,9.61,2.53,0.58,0.65,,0.05,,,-0.24043,,,,,-1,-30,,404,-5,-0.1,0.2,58.7,55.4,162,0.2,26,7.89,4.12,2.76,22,8.85,2,7,1.44,-0.2,27.6,-10,0.56,,3,24,34.8,72,6,8.11,10.6,,-0.1,29,,7.7,2,335,1.3,1.32,,1.8,-0.5,0.58,0.5,331,-1,38.4,3.7,152,300,7.38,6.5,11.2,0.5,3.94,0.162,0.26,,,1.84,,,,,,,,,,,,,,,,
F17_129BS,"Felger, T.J.",6/25/2017,MRP-17369,C-466683,"Felger, T.J.",6/26/2018,10/29/2018,USGS contract lab - AGAT Labs,40.82988496,-113.9633631,Tetzlaff Peak,UT,~1.6 km NW of Rishel Peak,5,"igneous, volcanic",volcanic breccia,Eocene,breccia/agglomerate,C_WDXRF-MAJORS; C_ICPOES_MS-60; C_TOTAL-H2O,59.2,0.69,18,6.31,0.13,3.15,6.4,3.14,2.06,0.17,0.13,-0.01,0.04,0.02,1.14,0.6,1,1.6,,-1,-5,22,1090,-5,-0.1,0.3,54.7,18.4,17,1.9,19,3.52,1.76,1.08,19.8,3.92,1,4,0.69,-0.2,29.6,11,0.33,975,-2,11.3,21.8,11,15,6.38,60.9,,0.1,13,-5,4.3,2,394,0.8,0.6,1.2,7.8,-0.5,0.3,2.03,104,2,17.8,1.7,83,158,9.56,4.82,4.25,1.61,1.91,,0.08,-0.1,27.9,0.42,,,,,,,,,,,,,,,,
M22SI-1150,"Miller, D.M.",8/22/2022,MRP-19886,C-543826,"Miller, D.M.",,3/2/2023,USGS contract lab - SGS Labs,40.86340167,-113.9297129,Tetzlaff Peak,NV,Silver Island Mtns,5,"igneous, volcanic",andesite,Miocene,lava flow?,C_WDXRF-MAJORS; C_ICPOES_MS-61,61.14,0.66,17.36,6.06,0.12,2,5.48,3.42,2.09,0.21,0.13,-0.01,,0.01,1.67,,,,,-1,-5,21,1017,-5,-0.1,-0.2,61.8,11.9,-10,0.3,15,3.79,2.4,1.14,19,4.25,-1,4,0.75,-0.2,32.9,17,0.35,925,-2,12,23.8,8,16,6.71,28.6,-0.02,0.3,10,-1,4.3,1,414,0.7,0.57,-0.05,9.2,-0.5,0.33,2.32,84,-1,20,2.4,85,164,9.18,3.8,4.22,1.8,1.17,,0.09,-0.01,30.01111,0.39,,,,,,,,,,,,,,,,
F09_093GC,"Felger, T.J.",10/1/2009,MRP-15593,C-423228,"Felger, T.J.",8/2/2016,9/15/2016,USGS contract lab - SGS Labs,41.8195653,-113.2321413,Black Butte,UT,E of Park Valley,5,"igneous, volcanic",tuff,Miocene,pyroclastic,C_WDXRF-MAJORS; C_ICPAES_MS-55; C_TOTAL-H2O,70.2,0.27,11.4,2.19,0.05,0.61,0.58,2.79,4.3,0.02,,-0.01,,,7.42,1.3,6.6,7.9,,-1,-30,17,607,-5,0.2,-0.2,174,1,-10,4.2,-5,12.4,7.28,1.09,20,11.8,1,12,2.41,-0.2,89.7,33,1.06,,4,47,72.4,7,30,20.2,184,,0.6,-5,,14.1,7,55.7,3.2,1.96,,30,1.1,1.04,7.12,15,2,66.9,6.9,64,389,5.85,0.4,1.52,3.7,0.36,0.031,-0.01,0.06,30.01111,0.15,,,,,,,,,,,,,,,,
F12_225GC,"Felger, T.J.",8/8/2012,MRP-15593,C-423218,"Felger, T.J.",8/2/2016,9/15/2016,USGS contract lab - SGS Labs,41.626993,-113.9892141,Grouse Creek,UT,Dairy Valley Creek,5,"igneous, volcanic",tuff,Miocene,pyroclastic,C_WDXRF-MAJORS; C_ICPAES_MS-55; C_TOTAL-H2O,70.4,0.14,12.6,1.39,-0.01,0.87,1.08,1.78,4.24,0.01,,-0.01,,,7.72,2.8,6.9,9.7,,-1,-30,-10,316,-5,0.4,-0.2,133,0.7,-10,1.8,-5,7.43,4.81,0.46,19,7.32,1,5,1.55,-0.2,74.8,36,0.68,,3,16,50,7,38,15.1,119,,-0.1,-5,,8.8,4,67.5,1.4,1.2,,31.7,0.9,0.69,4.87,10,2,43.9,4.6,32,141,6.34,0.7,0.97,3.6,0.53,0.01,-0.01,-0.01,30.01111,0.08,,,,,,,,,,,,,,,,
F14_574GC,"Felger, T.J.",9/23/2014,MRP-14513,C-397077,"Felger, T.J.",6/4/2015,8/18/2015,USGS contract lab - SGS Labs,41.51301196,-114.0094331,Dairy Valley,UT,W of Grouse Creek Valley,5,"igneous, volcanic",rhyolite,Miocene,lava flow,C_WDXRF-MAJORS; C_ICPAES_MS-55,76.9,0.07,12.2,1.19,0.02,0.09,0.74,3.46,4.89,0.01,,-0.01,,,0.879,,,,,-1,-30,,41,-5,0.3,-0.2,59,-0.5,-10,4,-5,10.4,6.86,0.15,20,8.6,2,5,2.1,-0.2,26.4,21,1.12,,4,27,28.8,-5,52,7.73,250,,0.1,-5,,8,6,21.6,2.6,1.62,,42.5,1.2,1.11,12.2,-5,4,63.9,7.2,41,107,6.24,0.5,0.82,4.2,0.05,0.019,-0.01,,,0.04,,,,,,,,,,,,,,,,
F16_025GC,"Felger, T.J.",7/11/2016,MRP-15593,C-423206,"Felger, T.J.",8/2/2016,9/15/2016,USGS contract lab - SGS Labs,41.46073296,-113.3172001,Sheep Mountain,UT,S of Sheep Mountain,5,"igneous, volcanic",minette?,Pliocene?,lava flow,C_WDXRF-MAJORS; C_ICPAES_MS-55; C_TOTAL-H2O,44,0.68,9.87,9.52,0.17,16.2,9.54,4.06,3.21,0.4,,0.16,,,2.46,1,2.2,3.2,,-1,-30,-10,1123,-5,-0.1,-0.2,82.5,50.2,917,1,101,3.94,1.96,1.79,12,5.25,1,3,0.75,-0.2,42.9,23,0.3,,-2,16,44.8,425,15,11.1,75.3,,-0.1,21,,7.5,1,929,0.6,0.68,,5.2,-0.5,0.28,1.26,203,-1,19.2,1.9,84,92.6,4.95,6.6,6.59,2.8,9.46,0.122,0.17,0.01,20.7,0.39,,,,,,,,,,,,,,,,
F17_497BS,"Felger, T.J.",10/20/2017,MRP-17369,C-466695,"Felger, T.J.",6/26/2018,10/29/2018,USGS contract lab - AGAT Labs,40.88588296,-113.8999781,Silver Island Pass,UT,~0.5 km SW of Silver Island Pass,5,"igneous, volcanic",vitrophyre,Miocene,lava flow,C_WDXRF-MAJORS; C_ICPOES_MS-60; C_TOTAL-H2O,68.1,0.45,13.7,3.29,0.05,0.36,1.9,3.36,4.34,0.12,0.21,-0.01,0.02,-0.01,3.95,1.4,2.8,4.2,,1,-5,15,1770,-5,-0.1,0.4,208,4.3,-10,8.6,-5,10.5,5.61,2.15,22.3,12.1,1,12,2.2,-0.2,110,21,0.87,358,3,30.5,80.5,-5,40,23.4,256,,-0.1,6,12,14.3,3,207,1.6,1.88,0.7,30.4,1.2,0.89,4.2,13,-1,55.9,5.3,73,501,7.05,1.38,2.22,3.48,0.21,,0.05,-0.1,30.3,0.28,,,,,,,,,,,,,,,,
M89SRP-2,"Miller, D.M.",,MRP-20269,C-554101,"Miller, D.M.",,7/26/2023,USGS contract lab - SGS Labs,42.900442,-113.371489,Bear Trap Cave,ID,Split Butte,50,"igneous, volcanic",basalt,Quaternary,dike,C_WDXRF-MAJORS; C_ICPOES_MS-61; C_TOTAL-H2O,47.4,3.33,14.11,15.78,0.23,5.93,9.17,2.62,0.89,0.81,0.06,0.02,,0.06,-0.55006,0.07,1,1.07,,-1,-5,43,514,-5,0.1,-0.2,85.6,45.7,151,0.4,41,9.52,5.38,3.37,23,10.47,2,8,1.95,-0.2,39,-10,0.7,1750,-2,32,46.9,88,9,11.2,21.4,-0.02,0.1,32,-1,11.3,2,348,2,1.54,-0.05,3.1,-0.5,0.71,1.08,341,-1,51.4,4.5,157,327,7.51,7,11.23,0.7,3.75,,0.39,0.07,22.6,2.13,,,,,,,,,,,,,,,,
