source_row,projeto_amostragem,projeto_publicacao,centro_custo,classe,num_campo,num_lab,data_visita,abertura,leitura,job,As_ppm,Cr_ppm,Cu_ppm,Ni_ppm,Pb_ppm,Zn_ppm,observacao,longitude,latitude,arcgis_objectid,sample_description,material_collected,soil_horizon_raw,soil_type_raw,project_report_url
2,Florianópolis,Florianópolis,1046350,Solo,1046-JC-L-001,JBC211,1987-11-01,,Espectrografia Ótica de Emissão,,ND,20,15,7,30,ND,Análise de Zr_ppm sofreu interferência; Análise de Sc_ppm sofreu interferência,-48.706860830999972,-27.590198043999976,87954,Composto,Solo,Nao Identificado,Nao Especificado,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
8,Florianópolis,Florianópolis,1046350,Solo,1046-JC-L-007,JBC339,1987-11-01,,Espectrografia Ótica de Emissão,,ND,15,200,10,70,ND,Análise de Sc_ppm sofreu interferência,-48.706837172000007,-27.591334631999985,87966,Composto,Solo,Nao Identificado,Nao Especificado,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
23,Florianópolis,Florianópolis,1046350,Solo,1046-JC-L-022,JBC354,1987-11-01,,Espectrografia Ótica de Emissão,,ND,70,15,5,20,ND,Análise de Sc_ppm sofreu interferência,-48.705662409000013,-27.589385735000008,87987,Composto,Solo,Nao Identificado,Nao Especificado,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
29,Florianópolis,Florianópolis,1046350,Solo,1046-JC-L-028,JBC360,1987-11-01,,Espectrografia Ótica de Emissão,,ND,10,< 5,< 5,15,ND,,-48.706961356000022,-27.589423840999984,87993,Composto,Solo,Nao Identificado,Nao Especificado,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
33,Florianópolis,Florianópolis,1046350,Solo,1046-JC-L-032,JBC364,1987-11-01,,Espectrografia Ótica de Emissão,,ND,10,30,< 5,50,ND,,-48.707720676999998,-27.589436385999988,87997,Composto,Solo,Nao Identificado,Nao Especificado,http://rigeo.cprm.gov.br/jspui/handle/doc/7540
