record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction
rec-1394c58d44deb0f384add56d74c7a3447281b19bb391a4ae7e625105c9457151,src-b741eab2bdf12bef9dc9db045da1074f729a46e4132526f1d65978ff86e64cf4,s_8715/1 [7221] / s_15/1 [9427],Ni,Ni,131,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN THOLEIITIC METABASALTS AND GABBROIDS,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,12,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=12,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-8103c1d5441318445a23103953c5f3315d951c4d82e2032ce67e145b0ec17ff2,src-4253fa5967109f533c8a13d9af045028eb415b8097090e12284f50808cab3967,s_8715/2 [7221] / s_15/2 [9427],Ni,Ni,155,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN THOLEIITIC METABASALTS AND GABBROIDS,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,13,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=13,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-7d789b59aee501eb7dbf322b285f6cbb0c27fefc48bca196b8975c11f3785474,src-37ee96de85053d9773cd96d778c36d192b24c6fc7929d90dd7302998a40366eb,s_O-1-1 [26368],Cu,Cu,31.1,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,172,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=172,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-6bf1d34900fa2058c758b2a0b14ef8dc4b823af8619db2b2fcabe95e467fee72,src-37ee96de85053d9773cd96d778c36d192b24c6fc7929d90dd7302998a40366eb,s_O-1-1 [26368],Zn,Zn,117,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,172,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=172,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-744379712d5e986e1e2ed18c088384066e43c869404fa7cdd0a77f13ef3e6535,src-c55533c09197ce0d1152d94ba0a03e2cf5ae2896368b708e227d96039391f2de,s_O-1-2 [26368],Cu,Cu,151,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,173,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=173,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-af9c6e60e442c7027392ea4cc0fd51bd327cd9744128c781ef711c59f8f1b250,src-c55533c09197ce0d1152d94ba0a03e2cf5ae2896368b708e227d96039391f2de,s_O-1-2 [26368],Zn,Zn,91.6,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,173,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=173,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-a32e253401e55f32ede2afda73ce92cbc2c09b4d130cdad8321e4293c28ecf8b,src-6c292f28f6c63f882ee35da63e9d01f70a39c26c8360ee48f0d5ed8948b3de4b,s_OL1601 [26368],Cu,Cu,147.2,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,174,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=174,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-057442e35f3e19479122254d8a2269ff01503a8335938abe529004740fd2210a,src-6c292f28f6c63f882ee35da63e9d01f70a39c26c8360ee48f0d5ed8948b3de4b,s_OL1601 [26368],Zn,Zn,89.04,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,174,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=174,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-9981373bbdb13d9078a3809d7f53d036c49acf0bbd4a1d181c5d96db7f62773b,src-7d3f997abfd5f38f7bdd7b79816d29d5dae5b015155f975fa756e6c3f8bc8dad,s_OL1602 [26368],Cu,Cu,51.39,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,175,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=175,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-1d5e1067f3827be5bd06aeb8f6bb1b623c131f9b3031689705561861e3157cf6,src-7d3f997abfd5f38f7bdd7b79816d29d5dae5b015155f975fa756e6c3f8bc8dad,s_OL1602 [26368],Zn,Zn,151.4,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.2,119.6,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,175,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=175,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
