site,v_t,lat_t,lon_t,v_s,lat_s,lon_s,log2_ratio
44.94_4.4,0.05117,44.94,4.4,0.02421,44.94,4.4,1.079695154011105
44.95_3.94,0.02072,44.95,3.94,0.03183,44.95,3.94,-0.6193631539493671
44.96_2.03,0.1246,44.958333333333,2.0305555555556,0.126,44.958333333333,2.0305555555556,-0.0161196653632769
45.03_0.1,0.03383,45.03,0.1,0.01214,45.03,0.1,1.4785347555383062
45.12_2.44,0.04658,45.12,2.44,0.03361,45.12,2.44,0.4708200969028645
45.17_1.64,0.02552,45.17,1.64,0.01769,45.17,1.64,0.5286942810744111
45.22_19.29,0.02751,45.2231,19.2919,0.0207,45.2231,19.2919,0.41032537192952295
45.31_18.48,0.03613,45.3136,18.4814,0.0395,45.3136,18.4814,-0.12865539851938415
45.33_2.75,0.03021,45.33,2.75,0.03072,45.33,2.75,-0.024152031993215327
45.34_17.82,0.04224,45.3425,17.8167,0.04973,45.3425,17.8167,-0.23550659644430838
45.37_-0.36,0.01039,45.37,-0.36,0.01809,45.37,-0.36,-0.799996753717029
45.37_6.44,0.0892,45.37,6.44,0.08129,45.37,6.44,0.13396582202421897
45.41_3.71,0.0353,45.41,3.71,0.03094,45.41,3.71,0.19019498670950688
45.46_14.83,0.1623,45.462813888889,14.833333333333,0.1921,45.462813888889,14.833333333333,-0.24319451911755552
45.55_11.33,0.05574,45.55,11.33,0.03949,45.55,11.33,0.4972256346434606
45.55_5.3,0.02624,45.55,5.3,0.03262,45.55,5.3,-0.31398906209380073
45.56_14.26,0.0541,45.564325,14.258566666667,0.04902,45.564325,14.258566666667,0.14225810984733794
45.58_7.96,0.05891,45.58,7.96,0.0325,45.58,7.96,0.8580728348594453
45.63_15.29,0.07488,45.633627777778,15.285505555556,0.05454,45.633627777778,15.285505555556,0.45726573466814147
45.65_12.03,0.07923,45.65,12.03,0.02752,45.65,12.03,1.5255663321861512
45.66_-0.73,0.02439,45.66,-0.73,0.01947,45.66,-0.73,0.32503687407588916
45.66_0.6,0.02706,45.66,0.6,0.02225,45.66,0.6,0.2823565032354147
45.67_16.82,0.03718,45.6728,16.8239,0.02996,45.6728,16.8239,0.3114891464607305
45.77_14.7,0.125,45.765288888889,14.701725,0.1067,45.765288888889,14.701725,0.22836791872502432
45.7_10.25,0.1333,45.7,10.25,0.2786,45.7,10.25,-1.06351847751228
45.81_9.81,0.08602,45.81,9.81,0.05949,45.81,9.81,0.5320249529946455
45.82_2.62,0.03789,45.82,2.62,0.04766,45.82,2.62,-0.33096181168156247
45.85_14.89,0.07674,45.851836111111,14.886036111111,0.09103,45.851836111111,14.886036111111,-0.24636331573972653
45.89_9.26,0.09725,45.89,9.26,0.07818,45.89,9.26,0.3148986654716259
45.8_18.61,0.02586,45.8039,18.6128,0.02358,45.8039,18.6128,0.1331585568304918
45.92_6.64,0.04435,45.92,6.64,0.03039,45.92,6.64,0.545337429666132
45.93_-0.48,0.07222,45.93,-0.48,0.01503,45.93,-0.48,2.2645534110322756
45.95_16.35,0.03907,45.9503,16.348,0.0285,45.9503,16.348,0.45509933624420673
46.05_17.95,0.0309,46.0525,17.948,0.0222,46.0525,17.948,0.47704716155426863
46.08_18.1,0.03785,46.0752,18.1014,0.04892,46.0752,18.1014,-0.3701311036542926
46.11_1.43,0.0308,46.11,1.43,0.02134,46.11,1.43,0.5293701747578388
46.17_10.66,0.1424,46.17,10.66,0.08937,46.17,10.66,0.6720866168830739
46.21_11.42,0.1116,46.21,11.42,0.07661,46.21,11.42,0.5427324008078351
46.22_5.16,0.03837,46.22,5.16,0.04984,46.22,5.16,-0.3773253034212088
46.23_3.65,0.0251,46.23,3.65,0.02849,46.23,3.65,-0.18276825748571685
46.24_8.19,0.07804,46.24,8.19,0.0477,46.24,8.19,0.7102245117161525
46.28_5.51,0.02493,46.28,5.51,0.02344,46.28,5.51,0.08891031306925277
46.31_9.77,0.03739,46.31,9.77,0.04608,46.31,9.77,-0.30148824558414367
46.32_4.56,0.04114,46.32,4.56,0.02765,46.32,4.56,0.5732623134028645
46.36_0.25,0.06547,46.36,0.25,0.1035,46.36,0.25,-0.6607248836855313
46.37_12.23,0.05568,46.37,12.23,0.02909,46.37,12.23,0.9366359147484218
46.38_-0.34,0.02926,46.38,-0.34,0.02312,46.38,-0.34,0.33978837163780795
46.3_12.51,0.1396,46.3,12.51,0.10005,46.3,12.51,0.480577774303911
46.3_17.39,0.03866,46.301,17.3914,0.02474,46.301,17.3914,0.6439961372348659
46.45_13.32,0.08758,46.45,13.32,0.06534,46.45,13.32,0.4226349950145882
46.49_2.83,0.02885,46.49,2.83,0.01956,46.49,2.83,0.560664948580611
46.4_16.32,0.04291,46.4005,16.3158,0.03968,46.4005,16.3158,0.11290187536151028
46.54_-1.2,0.04546,46.54,-1.2,0.02996,46.54,-1.2,0.6015600603590967
46.57_9.94,0.02315,46.5722,9.9375,0.02773,46.5722,9.9375,-0.26043542289187993
46.58_-1.74,0.02625,46.58,-1.74,0.02302,46.58,-1.74,0.18942958930861684
46.58_6.19,0.09853,46.58,6.19,0.07472,46.58,6.19,0.3990686021262318
46.59_13.37,0.1992,46.58694,13.37222,0.1779,46.58694,13.37222,0.16315113680092097
46.59_5.32,0.0386,46.59,5.32,0.08801,46.59,5.32,-1.1890666095606461
46.59_8.49,0.08644,46.5902,8.493,0.06637,46.5902,8.493,0.3811677979666866
46.63_21.32,0.06551,46.628068361111,21.315409805556,0.0281,46.628068361111,21.315409805556,1.2211450181768184
46.65_1.79,0.0317,46.65,1.79,0.02417,46.65,1.79,0.391265367261187
46.67_6.7,0.06337,46.666,6.7,0.04848,46.666,6.7,0.3864103167208987
46.6_17.91,0.0342,46.597556444444,17.90780575,0.01664,46.597556444444,17.90780575,1.0393408916321683
46.72_16.72,0.07418,46.718640527778,16.721189638889,0.04476,46.718640527778,16.721189638889,0.7288202315266157
46.78_-0.17,0.04101,46.78,-0.17,0.01293,46.78,-0.17,1.6652534685169615
46.7_15.31,0.06426,46.70389,15.30889,0.04539,46.70389,15.30889,0.5015464925335187
46.7_4.15,0.0221,46.7,4.15,0.02696,46.7,4.15,-0.28677412690306453
46.83_16.5,0.07179,46.833307138889,16.498268361111,0.03317,46.833307138889,16.498268361111,1.1139038854716332
46.83_19.65,0.0146,46.828929722222,19.647747916667,0.00882,46.828929722222,19.647747916667,0.727117808209859
46.86_9.91,0.0265,46.8638,9.9097,0.01834,46.8638,9.9097,0.5309987207428695
46.87_21.59,0.03331,46.869596555556,21.591981,0.02275,46.869596555556,21.591981,0.5500888087009302
46.87_3.54,0.07151,46.87,3.54,0.1067,46.87,3.54,-0.5773432677373402
46.92_12.61,0.03607,46.9194,12.60833,0.01436,46.9194,12.60833,1.328743673964519
46.98_14.39,0.03304,46.98083,14.38778,0.03231,46.98083,14.38778,0.03223293615408187
47.09_19.48,0.01243,47.08933525,19.482783583333,0.0114,47.08933525,19.482783583333,0.12479247200038088
47.0_5.0,0.03832,47.0,5.0,0.03727,47.0,5.0,0.0400827420073305
47.0_6.0,0.03979,47.0,6.0,0.04345,47.0,6.0,-0.12695027800802508
47.11_15.67,0.07332,47.10861,15.67306,0.02534,47.10861,15.67306,1.5327902613990763
