cohort_id,element_or_analyte,medium,sample_type,grain_fraction,measurement_basis,method_family,digestion_or_extraction,unit_layer,comparability_tier,n_quantified_records,n_censored_records,n_not_normalized_records,quantified_fraction,n_quantified_samples,n_sources,source_ids,dominant_source_id,dominant_source_share,n_with_coordinates,n_with_geology_match,workflow_band_high,workflow_band_medium,workflow_band_low,bbox_west,bbox_south,bbox_east,bbox_north,sampled_at_min,sampled_at_max
cohort-5069e5b9028d,Zn,sediment,sediment_clay_fraction_leach_residue,clay fraction,clay_fraction_leach_residue_sediment_analysis,other_x_ray_diffraction_xrd_per_publisher_parameter_labels,"clay fraction, post-leach residue",mg/kg,single_lineage_ready,49,0,0,1.0,49,1,pangaea-east-china-sea-clay,pangaea-east-china-sea-clay,1.0,49,11,0,49,0,117.71,24.188,126.912,31.87,,
cohort-b150bab5052d,Zn,sediment,sediment_floodplain,<2 mm; pulverized <0.063 mm,aqua_regia_leachable_<2mm_floodplain_sediment,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,374,0,0,1.0,374,1,foregs-floodplain-sediment,foregs-floodplain-sediment,1.0,374,348,0,374,0,-15.45288278,27.82639699,26.487047148,49.31,,
cohort-d3c9af863396,Zn,sediment,sediment_floodplain,<2 mm; pulverized <0.063 mm,total_selected_<2mm_floodplain_sediment,xrf,pressed powder pellet,mg/kg,single_lineage_ready,372,0,0,1.0,372,1,foregs-floodplain-sediment,foregs-floodplain-sediment,1.0,372,346,0,372,0,-15.45288278,27.82639699,26.487047148,49.31,,
cohort-8673986e769d,Zn,sediment,sediment_marine,,dry_weight_partial_nitric_acid,icp_oes,Metoden anvendes på analyseløsninger fremstilt ved ekstraksjon med 7 M HNO3 i autoklav i samsvar med Norsk Standard - NS 4770,mg/kg,single_lineage_ready,401,0,0,1.0,401,1,norway-marchem,norway-marchem,1.0,401,0,0,401,0,5.5623,64.0723,36.6777,78.252,2015,2017
cohort-6e9c527478ea,Zn,sediment,sediment_marine,,dry_weight_partial_nitric_acid,icp_oes,Prøveframstilling følger prosedyre i LABdok_P03: Framstilling av analyseløsninger etter partiell oppslutning i salpetersyre iht. NS-4770.,mg/kg,single_lineage_ready,474,5,0,0.9896,474,1,norway-marchem,norway-marchem,1.0,474,0,0,479,0,1.588881,56.732085,34.038155,81.548998,2019,2024
cohort-82090e5a9a71,Zn,sediment,sediment_marine_core,bulk sediment,bulk_marine_sediment_geochemical_analysis,other_geochemical_analysis_on_bulk_sediment,not reported in publisher table,mg/kg,single_lineage_ready,27,0,0,1.0,26,1,pangaea-arabian-sea-sediment,pangaea-arabian-sea-sediment,1.0,27,0,0,27,0,57.3555,10.0345,68.3668,19.5163,,
cohort-6887ef4b9a7d,Zn,sediment,sediment_marine_surface,bulk sediment,bulk_marine_surface_sediment_geochemical_analysis,icp_ms,not reported in publisher table,mg/kg,single_lineage_ready,44,0,0,1.0,44,1,pangaea-south-china-sea-sediment,pangaea-south-china-sea-sediment,1.0,44,0,0,44,0,105.2847,4.0725,120.155,20.6,,
cohort-36ab0beea49b,Zn,sediment,sediment_outlet_bottom,<75 µm,ICP-MS reported concentration in <75 µm catchment-outlet sediment; BOS,icp_ms,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,mg/kg,single_lineage_ready,1062,5,0,0.9953,1062,1,australia-ngsa,australia-ngsa,1.0,1062,1039,0,1067,0,113.8452,-43.3302,153.3335,-11.0346,1/03/2008,9/12/2007
cohort-e2aae853da04,Zn,sediment,sediment_outlet_top,<75 µm,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,icp_ms,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,mg/kg,single_lineage_ready,1060,4,0,0.9962,1060,1,australia-ngsa,australia-ngsa,1.0,1060,1040,0,1064,0,113.8452,-43.3302,153.3335,-11.0346,1/03/2008,9/12/2007
cohort-f03bb0cc9183,Zn,sediment,sediment_stream,<180 µm fine stream sediment,river_sediment_<180um_national_geochemical_map,,,mg/kg,single_lineage_ready,3024,0,0,1.0,3024,1,japan-gsj-geochemical-map,japan-gsj-geochemical-map,1.0,3024,2622,0,3024,0,127.6799,26.1292,145.7221,45.4518,,
